YEAR,MONTH,DAY,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,US,ORD,PHX,-1,3,0,0,,,,,,
2015,1,1,UA,ORD,IAH,4,11,0,0,,,,,,
2015,1,1,NK,ORD,FLL,-4,-25,0,0,,,,,,
2015,1,1,UA,ORD,DEN,7,3,0,0,,,,,,
2015,1,1,EV,ORD,DTW,15,-3,0,0,,,,,,
2015,1,1,B6,ORD,BOS,-11,-33,0,0,,,,,,
2015,1,1,NK,ORD,LGA,-9,27,0,0,,27,0,0,0,0
2015,1,1,DL,ORD,ATL,2,-21,0,0,,,,,,
2015,1,1,F9,ORD,MIA,,,0,1,A,,,,,
2015,1,1,UA,ORD,MCO,-5,-21,0,0,,,,,,
2015,1,1,OO,ORD,MBS,-3,-13,0,0,,,,,,
2015,1,1,EV,ORD,IAD,-5,-17,0,0,,,,,,
2015,1,1,UA,ORD,EWR,3,2,0,0,,,,,,
2015,1,1,NK,ORD,TPA,34,14,0,0,,,,,,
2015,1,1,US,ORD,PHX,-2,-5,0,0,,,,,,
2015,1,1,F9,ORD,PHX,-11,10,0,0,,,,,,
2015,1,1,UA,ORD,DEN,4,-2,0,0,,,,,,
2015,1,1,UA,ORD,SFO,8,-12,0,0,,,,,,
2015,1,1,OO,ORD,MKE,82,80,0,0,,0,0,73,7,0
2015,1,1,UA,ORD,LAX,0,0,0,0,,,,,,
2015,1,1,EV,ORD,RIC,-7,-23,0,0,,,,,,
2015,1,1,US,ORD,CLT,-4,-11,0,0,,,,,,
2015,1,1,NK,ORD,LAX,-6,-12,0,0,,,,,,
2015,1,1,F9,ORD,ATL,65,61,0,0,,0,0,61,0,0
2015,1,1,UA,ORD,IAH,12,14,0,0,,,,,,
2015,1,1,UA,ORD,EWR,-3,-23,0,0,,,,,,
2015,1,1,EV,ORD,BTV,-4,-9,0,0,,,,,,
2015,1,1,OO,ORD,DSM,-5,3,0,0,,,,,,
2015,1,1,UA,ORD,FLL,0,-21,0,0,,,,,,
2015,1,1,UA,ORD,MCO,14,3,0,0,,,,,,
2015,1,1,UA,ORD,LGA,0,-21,0,0,,,,,,
2015,1,1,AS,ORD,SEA,-3,-27,0,0,,,,,,
2015,1,1,OO,ORD,DCA,0,-16,0,0,,,,,,
2015,1,1,UA,ORD,LAS,7,-5,0,0,,,,,,
2015,1,1,OO,ORD,ASE,-5,0,0,0,,,,,,
2015,1,1,OO,ORD,SAT,-1,-3,0,0,,,,,,
2015,1,1,OO,ORD,TVC,-5,-5,0,0,,,,,,
2015,1,1,UA,ORD,SAN,-2,-27,0,0,,,,,,
2015,1,1,EV,ORD,CHS,-3,-12,0,0,,,,,,
2015,1,1,OO,ORD,IND,-9,-21,0,0,,,,,,
2015,1,1,UA,ORD,PHL,-3,-28,0,0,,,,,,
2015,1,1,UA,ORD,LAX,21,16,0,0,,0,0,16,0,0
2015,1,1,EV,ORD,MSY,-1,-8,0,0,,,,,,
2015,1,1,NK,ORD,MSY,-1,-14,0,0,,,,,,
2015,1,1,OO,ORD,ATL,100,88,0,0,,0,0,63,25,0
2015,1,1,UA,ORD,SFO,34,-8,0,0,,,,,,
2015,1,1,UA,ORD,SJU,4,-31,0,0,,,,,,
2015,1,1,UA,ORD,DEN,60,76,0,0,,16,0,60,0,0
2015,1,1,DL,ORD,ATL,2,-18,0,0,,,,,,
2015,1,1,UA,ORD,SNA,21,-2,0,0,,,,,,
2015,1,1,UA,ORD,PHX,36,37,0,0,,1,0,36,0,0
2015,1,1,AA,ORD,SJU,339,310,0,0,,0,0,75,235,0
2015,1,1,OO,ORD,FWA,-8,-10,0,0,,,,,,
2015,1,1,UA,ORD,PDX,28,-4,0,0,,,,,,
2015,1,1,NK,ORD,RSW,-4,-22,0,0,,,,,,
2015,1,1,OO,ORD,OMA,-5,-12,0,0,,,,,,
2015,1,1,UA,ORD,RSW,3,-21,0,0,,,,,,
